tag,category,trigger,effect,set_by
market:[city-state] (e.g. market:phoenix-az),Market Pref (canonical),Buyer prefs captured,"Canonical city-state market label after 2026-04-20 cleanup. Replaces mkt:[city-state].",buy-box-save.js / manual
market:[state] (e.g. market:texas),Market Pref (canonical),Buyer prefs captured,State-level market label.,buy-box-save.js / manual
buyer-interested,Deal Response,"Buyer replies IN/YES/1/""interested""","Interested in last deal sent",buyer-response-tag.js
buyer-maybe,Deal Response,"Buyer replies MAYBE/2/""more info""",Maybe interested,buyer-response-tag.js
buyer-pass,Deal Response,"Buyer replies PASS/NO/3/""not interested""",Not interested in specific deal,buyer-response-tag.js
buyer-responded,Deal Response,Any follow-up reply,Stops deal sprint for this deal,buyer-response-tag.js + deal-follow-up.js
pref-keep-all,Alert Preference,"Buyer replies A or ""keep""",Keep sending all alerts (default),buyer-response-tag.js
pref-market-only,Alert Preference,"Buyer replies B or ""tighten""",Only send deals matching target cities (hard filter),buyer-response-tag.js
alerts-paused,Alert Preference,"Buyer replies C or ""pause""",Stop all future alerts — fetchAllBuyers excludes these,buyer-response-tag.js
deal-hot,Deal Sprint,Strong interest signal,Trigger for hot follow-up sequence,deal-follow-up.js
deal-warm,Deal Sprint,Some interest,Warm follow-up sequence,deal-follow-up.js
deal-paused,Deal Sprint,Pause requested,Paused in follow-up sprint,deal-follow-up.js
new-deal-alert,Engagement,Received any deal alert,"Lifetime engagement signal + triggers GHL email workflow",notify-buyers.js
Active Viewer,Engagement,Clicked/viewed a deal,Viewer engagement lifetime tag,track-view.js
Active Buyer,Engagement,Submitted inquiry,Active buyer status,submit-inquiry.js
Website Inquiry,Engagement,Submitted inquiry form,Inquiry source attribution,submit-inquiry.js
last view: YYYY-MM-DD,Engagement (timestamp),Clicked tracked deal link,"Last deal-page view date — one per contact (rotates).",deal-view-tracker.js
tier1:[slug],Tier Router (PR #99),Hybrid Tier Router after Wait,"A-tier match quality per deal (canonical buy-box fit). Slug = street-city-state-code.",notify-buyers.js + n8n hybrid router
tier2:[slug],Tier Router (PR #99),Hybrid Tier Router after Wait,B-tier match quality per deal (softer fit).,notify-buyers.js + n8n hybrid router
tier3:[slug],Tier Router (PR #99),Hybrid Tier Router after Wait,C-tier match quality per deal (state-only fallback).,notify-buyers.js + n8n hybrid router
sprint-d0-[deal-id],Follow-up Sprint,Day 0 initial send,First send marker for multi-day follow-up,deal-follow-up.js
sprint-d1-[deal-id],Follow-up Sprint,Day 1 follow-up,Day-1 send marker,deal-follow-up.js
sprint-d2-[deal-id],Follow-up Sprint,Day 2 follow-up,Day-2 send marker (final nudge),deal-follow-up.js
sent:[slug],Per-Deal,Notify-buyers sent alert,"Admin lookup tag (format: sent:street-city-state-code). Visible in /admin/deal-buyers.html.",notify-buyers.js
viewed-[dealCode],Per-Deal,Clicked deal link,Lowercase deal code e.g. viewed-phx-001,deal-view-tracker.js
alert-[dealCode],Per-Deal,Replied INTERESTED,Promoted from sent- tag,buyer-alert.js
alerted-[shortId],Per-Deal,Notify-buyers dedup,Legacy 8-char UUID prefix dedup (also: alerted-[deal-id-prefix]),notify-buyers.js
inquiry-[dealId],Per-Deal,Inquiry form submit,Per-deal inquiry marker,submit-inquiry.js
lead-new,Lead Scoring,Seller lead submitted,Trigger for lead-intake cron,lead-intake.js
lead-warm,Lead Scoring,Lead score 20-34,Warm seller lead,lead-intake.js
lead-hot,Lead Scoring,Lead score 35+,Hot seller lead (triggers uw-requested),lead-intake.js
lead-dead,Lead Scoring,Lead score below threshold,Dead lead,lead-intake.js
uw-requested,Underwriting,Hot lead / manual,Trigger for underwriting-poller cron,lead-intake.js
uw-complete,Underwriting,Underwriting done,Trigger for seller-call-prep cron,underwriting-poller.js
call-prepped,Underwriting,Call prep generated,Eddie has brief ready,seller-call-prep.js
pkg-requested,Package,Deal package requested,Trigger for deal-package-poller,manual/GHL workflow
pkg-complete,Package,Package generated,Package ready,deal-package-poller.js
birddog-submitted,Bird Dog,Bird dog student lead submitted,Trigger for deal-dog-poller,bird-dog flow
equity-exit-inquiry,Equity Exit,Co-ownership inquiry,Trigger for equity-exit-intake cron,equity-exit-intake.js
buyer-commercial,Commercial,Commercial buyer profile,Commercial lane identity,commercial-buyer-submit.js
tier-a,Commercial,Commercial score,"A = min $5M, decision <=7d, proof",commercial-buyer-submit.js
tier-b,Commercial,Commercial score,"B = min $3M, decision <=14d",commercial-buyer-submit.js
tier-c,Commercial,Commercial score,All other commercial buyers,commercial-buyer-submit.js
nda-requested,Commercial,NDA requested on commercial deal,NDA pending,commercial-nda-request.js
deal-[code],Commercial,NDA on specific commercial deal,Deal interest marker,commercial-nda-request.js
dispo-buddy,Cross-Brand,Dispo Buddy partner,Segments from TFS campaigns,dispo-buddy-submit.js
jv-partner,Cross-Brand,JV wholesale partner,Partner identity,dispo-buddy-submit.js
buyer-active,RETIRED 2026-04-20,(was: buyer identity),"Never gated match engine — false belief. Removed from 14 contacts. Pending pool-level deletion in GHL UI.",(retired)
buyer:active,RETIRED 2026-04-20,(was: orphan from deprecated n8n),Removed from Test Partner. Pending pool-level deletion.,(retired)
active buyer,RETIRED 2026-04-20,(was: variant of buyer-active),"Pending pool-level deletion.",(retired)
type:buyer,RETIRED 2026-04-20,(was: redundant with 'tfs buyer'),Pending pool-level deletion.,(retired)
mkt:[city-state],RETIRED 2026-04-20,(was: market label),"Retagged to canonical market:[city-state]. Pending pool-level deletion.",(retired)
acq:subto,RETIRED 2026-04-20,(was: deal pref),"Retagged to canonical buy:subto. Pending pool-level deletion.",(retired)
